Model,Train_acc_mean,Train_acc_sd,Test_acc_mean,Test_acc_sd,Final_loss_mean,Final_loss_sd,Final_grad_mean,Final_grad_sd,Mean_grad_mean,H_G_mean,H_G_sd,D_G_mean,D_G_sd,M_G_mean,M_G_sd,C_G_mean,C_G_sd,Psi_G_mean,Psi_G_sd
trained equivariant,0.8800000000000001,0.051908038341324736,0.8800000000000001,0.05123475382979804,0.5079051458389838,0.004362140721444128,0.152551424429741,0.16656372166031075,0.3592642305058992,0.9514343767388105,0.0,0.31615030734862704,0.0,0.14110185396781047,1.962615573354719e-17,1.0,0.0,0.5265018217594963,0.0
trained hybrid,0.85,0.048591265790377466,0.755,0.0325960120260133,0.5205315917853908,0.028680730050681755,0.14299365964045657,0.09353319638216416,0.3462635172696955,0.9556762664850819,0.003809153640950064,0.3222437529212179,0.0030199902612885695,0.13425953492317852,0.0020786268013216432,0.9175842856163928,0.031055187048012012,0.48503314493338456,0.01572476372141182
trained non-equivariant,0.6666666666666666,0.05892556509887895,0.425,0.03952847075210474,0.6125262175990189,0.03077375904143279,0.15766533003102307,0.16610849304576436,0.2657506981217363,0.9447487009757634,0.014142030590163142,0.32548952278897203,0.005873292881122841,0.11376643641597392,0.014868995442679212,0.8175103254957561,0.04484426271529395,0.4254160208447888,0.02584500082243538
