Case,gamma,n_weight_settings,pct_organised_gt_breaking,mean_margin,median_margin
U(1) toy,0,231,27.27272727272727,-0.05980099821319141,-0.0704960236775018
U(1) toy,1,231,38.52813852813853,-0.016712336371395416,-0.028882025882497997
U(1) toy,2,231,55.41125541125541,0.022119898355506394,0.009406585502346826
U(1) toy,3,231,80.51948051948052,0.057116168590626536,0.046468721627831
U(1) toy,5,231,100.0,0.11707909619771267,0.11644064100702023
U(1) toy,6,231,100.0,0.14269501236223817,0.14745226380525306
U(1) toy,8,231,100.0,0.18658555601855017,0.19470739215052885
U(1) toy,10,231,100.0,0.22223310831901882,0.226703691250067
SU(2) toy,0,231,96.96969696969697,0.034697233075896415,0.03680915919456118
SU(2) toy,1,231,99.56709956709958,0.04278213686389881,0.04477275709423256
SU(2) toy,2,231,100.0,0.0504662725245774,0.052633694213519294
SU(2) toy,3,231,100.0,0.05776950610656926,0.06010496521791894
SU(2) toy,5,231,100.0,0.07130785625010597,0.0737933033752558
SU(2) toy,6,231,100.0,0.07757797395352205,0.07999207419854142
SU(2) toy,8,231,100.0,0.08920118824032071,0.09148302939297893
SU(2) toy,10,231,100.0,0.09970063896180041,0.10186300818625967
trained U(1) task,0,231,83.11688311688312,0.008227292624846219,0.00784188840939637
trained U(1) task,1,231,100.0,0.03836902567944711,0.037468881962535894
trained U(1) task,2,231,100.0,0.06654142127946994,0.06257203423661706
trained U(1) task,3,231,100.0,0.09287314787284297,0.08818952676130698
trained U(1) task,5,231,100.0,0.14048778374027945,0.13123290482747868
trained U(1) task,6,231,100.0,0.16198815770505343,0.1523146683961782
trained U(1) task,8,231,100.0,0.20086644674228157,0.18906070260946994
trained U(1) task,10,231,100.0,0.23483040214895848,0.2204894662998493
